Date,Startup Name,Vertical,Sub-Vertical,City,Type,Amount (in USD),Remarks
25/02/2015,IndustryBuying,,,,Private Equity,2000000,Series A
26/02/2015,FreshWorld,,,,Seed Funding,N/A,
26/02/2015,TinyOwl,,,,Private Equity,16000000,Series B
27/02/2015,Momoe,,,,Seed Funding,1200000,
27/02/2015,Grofers,,,,Private Equity,10000000,Series A
2/3/2015,TrulyMadly.com,,,,Private Equity,5500000,Series A
2/3/2015,InstaLively,,,,Seed Funding,120000,
3/3/2015,Vserv,,,,Private Equity,15000000,
3/3/2015,Intruo.com,,,,Seed Funding,N/A,
5/3/2015,Niffler,,,,Seed Funding,1000000,
5/3/2015,CustomFurnish.com,,,,Private Equity,2500000,
6/3/2015,MapMyGenome,,,,Private Equity,1200000,
9/3/2015,Crowdfire (formerly Justunfollow),,,,Private Equity,2500000,
9/3/2015,Bite Club,,,,Seed Funding,500000,
10/3/2015,Localbanya,,,,Private Equity,N/A,Series B
11/3/2015,Appedo,,,,Seed Funding,1000000,
11/3/2015,Fitraq.com,,,,Seed Funding,150000,
11/3/2015,ChargeBee,,,,Private Equity,5000000,Series B
11/3/2015,Groupon India,,,,Private Equity,20000000,
12/3/2015,Process 9,,,,Seed Funding,N/A,
12/3/2015,MoonFrog Labs,,,,Private Equity,15000000,Series A
13/03/2015,Foodpanda,,,,Private Equity,110000000,Series C
13/03/2015,Paytm,,,,Private Equity,N/A,More details
13/03/2015,DiabetOmics,,,,Private Equity,5000000,Series C
13/03/2015,Qyk,,,,Seed Funding,N/A,
14/03/2015,Daily Rounds,,,,Seed Funding,500000,
14/03/2015,Orobind,,,,Seed Funding,200000,
14/03/2015,Routofy,,,,Seed Funding,N/A,
16/03/2015,Digital Gorkha,,,,Seed Funding,166000,
16/03/2015,NestAway,,,,Seed Funding,1300000,
16/03/2015,The Better India,,,,Seed Funding,166000,
16/03/2015,Meru Cabs,,,,Private Equity,50000000,
17/03/2015,GolfLAN,,,,Seed Funding,N/A,
18/03/2015,Drivestream,,,,Private Equity,5000000,
18/03/2015,wWhere,,,,Seed Funding,200000,
18/03/2015,GoJavas,,,,Private Equity,N/A,"Minority stake, Strategic"
19/03/2015,Tripoto,,,,Private Equity,2000000,Pre-Series A
19/03/2015,Graphic India,,,,Seed Funding,2800000,
20/03/2015,Harness Handitouch,,,,Private Equity,N/A,Series A
20/03/2015,Lets Corp,,,,Seed Funding,3000000,
20/03/2015,CollateBox,,,,Seed Funding,180000,
20/03/2015,Mahindra First Choice,,,,Private Equity,15000000,Series B
21/03/2015,Round One,,,,Seed Funding,N/A,
23/03/2015,RazorPay,,,,Seed Funding,120000,
23/03/2015,Mosambee,,,,Private Equity,N/A,Series B
24/03/2015,Furlenco,,,,Private Equity,6000000,Series A
24/03/2015,Cubito,,,,Seed Funding,160000,
25/03/2015,Teabox,,,,Private Equity,6000000,Series A
25/03/2015,Artoo,,,,Private Equity,500000,Series A
25/03/2015,Fxkart.com,,,,Seed Funding,2000000,
25/03/2015,Rozgar Mela,,,,Seed Funding,N/A,
25/03/2015,OYO Rooms,,,,Private Equity,25000000,Series A
26/03/2015,Roposo.com,,,,Private Equity,5000000,Series A
26/03/2015,Teewe,,,,Seed Funding,1750000,
26/03/2015,ePoise,,,,Seed Funding,N/A,
27/03/2015,Urjas,,,,Seed Funding,100000,
27/03/2015,Chargein,,,,Seed Funding,100000,
28/03/2015,Yogurt Labs,,,,Seed Funding,115000,
28/03/2015,LimeRoad.com,,,,Private Equity,30000000,
28/03/2015,Team Indus,,,,Private Equity,1500000,Pre-Series A
30/03/2015,Arohan Financial Services,,,,Private Equity,10000000,
30/03/2015,BillDesk,,,,Private Equity,75000000,Incremental Capital
31/03/2015,Triphobo,,,,Private Equity,3000000,Series B (More Here)
31/03/2015,Aryaka,,,,Private Equity,16000000,Series D
31/03/2015,Appsdaily,,,,Private Equity,16000000,Series C
3/4/2015,Swiggy,Online Food Delivery,,Bangalore,Private Equity,2000000,Series A
4/4/2015,Bluegape,Web Content Publishing,,Gurgaon,Seed Funding,200000,
4/4/2015,KeepTrax,Location Based App,,Hyderabad,Seed Funding,1000000,
6/4/2015,InstaLively,Video Streaming,,New Delhi,Seed Funding,120000,
7/4/2015,Pricejugaad,Price Comparison,,Hyderabad,Seed Funding,165000,
7/4/2015,Quikr,Online Classifieds,,Mumbai,Private Equity,150000000,Series G (Check prev funding details here)
7/4/2015,PressPlay,Travel Entertainment,,New Delhi,Seed Funding,2200000,
7/4/2015,LogiNext,Logistics Tech,,Mumbai,Seed Funding,N/A,
8/4/2015,FirstCry.com,eCommerce,,Pune,Private Equity,10000000,"Series D ( In Feb it was announced they raised 26M, but it is 36M, so added here)"
8/4/2015,MobiKwik,Digital / Mobile Wallet,,Gurgaon,Private Equity,25000000,Series B
8/4/2015,Olacabs,Cab Aggregator,,Bangalore,Private Equity,400000000,Series E (Updated from 315M to 400M after Press Release)
9/4/2015,Gadgetwood,Device Repair Svcs,,New Delhi,Seed Funding,200000,
9/4/2015,Bonhomia,Premium Beverages,,New Delhi,Seed Funding,2000000,
9/4/2015,Changer Mints,Digital / Mobile Wallet,,Kolkata,Seed Funding,165000,
9/4/2015,Urban Ladder,Online Furnishing eCommerce,,Bangalore,Private Equity,50000000,Series C
9/4/2015,Purple Squirrel,Ed-Tech,,Mumbai,Private Equity,N/A,Series B
10/4/2015,Whatfix,Interactive How-To Guides,,Bangalore,Seed Funding,900000,
10/4/2015,iMMi Life,Mobile Health Tech,,Chennai,Seed Funding,N/A,
11/4/2015,Zomato,Restaurant Reviews,,Gurgaon,Private Equity,25000000,Late Stage
13/04/2015,ZopNow,Online Grocer,,Bangalore,Private Equity,10000000,Series B
13/04/2015,Nayi Disha,Ed-Tech,,New Delhi,Seed Funding,300000,
13/04/2015,The Porter,Logistics Tech,,Mumbai,Seed Funding,500000,
13/04/2015,Commeasure,Online Hotel Booking,,Noida,Seed Funding,1000000,
13/04/2015,Capricoast,Online Kitchen Furniture,,Bangalore,Seed Funding,1250000,
14/04/2015,LocalOye,Hyper-local Online Services,,Mumbai,Private Equity,5000000,Series A
15/04/2015,Grofers,Hyper-Local Online/Mobile Grocery,,Gurgaon,Private Equity,35000000,Series B
15/04/2015,PepperTap,Hyper-Local Online/Mobile Grocery,,Gurgaon,Private Equity,10000000,Series A
15/04/2015,PolicyBazaar,Online Policy Aggregator,,Gurgaon,Private Equity,40000000,Series D
16/04/2015,UrbanClap,Hyperlocal Mobile Services Marketplace,,New Delhi,Seed Funding,1600000,
16/04/2015,Taskbob,OnDemand Mobile Handyman Services,,Mumbai,Seed Funding,1200000,
17/04/2015,Robosoft,Mobile App Development,,Udupi,Private Equity,12000000,Series B
18/04/2015,Doormint,On-Demand Handyman Services,,Mumbai,Seed Funding,N/A,
20/04/2015,Vyomo,Beauty & Wellness Mobile App,,Gurgaon,Seed Funding,N/A,
20/04/2015,Pastiwala,Material Collection & Recycling,,Vadodara,Private Equity,4000000,Series A
20/04/2015,1mg (Healthkartplus),Online Pharmacy & Drug DB,,Gurgaon,Private Equity,6000000,Series A
20/04/2015,Freshdesk,Online / Mobile Customer Support,,Chennai,Private Equity,50000000,Series E
20/04/2015,Sulekha.com,Online Classifieds & Listings,,Chennai,Private Equity,28000000,Series C
22/04/2015,FindYahan,Hyperlocal services marketplace,,New Delhi,Private Equity,N/A,Series A
22/04/2015,Eat.Shop.Love,Fashion ECommerce,,Bangalore,Private Equity,3500000,Series A
22/04/2015,Avanti Learning,Private Coaching Centers,,New Delhi,Private Equity,1500000,Series A
23/04/2015,Simplilearn,Online Certification Courses,,Bangalore,Private Equity,15000000,Series C
23/04/2015,Craftstvilla,Ethnic Product eCommerce,,Mumbai,Private Equity,18000000,Series B
23/04/2015,HeadOut,Last Minute Travel Deals mobile marketplace,,Bangalore,Seed Funding,1800000,
23/04/2015,happay,business expense management,,Bangalore,Seed Funding,500000,
23/04/2015,Jugnoo,Auto Rickshaw based Logistics,,Chandigarh,Seed Funding,1000000,
23/04/2015,EazyDiner,Restaurant reservation app,,New Delhi,Seed Funding,N/A,
23/04/2015,Phone Warrior,Spam Call block App,,New Delhi,Seed Funding,N/A,Pre-Series A
24/04/2015,Coverfox,Online Insurance Aggregator,,Mumbai,Private Equity,12000000,Series B
27/04/2015,Torqus,Restaurant Management Platform,,Pune,Seed Funding,350000,
27/04/2015,Grab,Food Logistics & Delivery,,Mumbai,Seed Funding,1000000,
27/04/2015,LogicRoots,Interactive Educational Games,,Jaipur,Seed Funding,400000,
27/04/2015,GIBBS,Clean Tech,,New Delhi,Private Equity,N/A,Series B
28/04/2015,Babajobs,Grey collar Job Board,,Bangalore,Private Equity,10000000,Series B
28/04/2015,Urban Ladder,Online Furniture ecommerce,,Bangalore,Private Equity,N/A,Series D
28/04/2015,Jay Robotix,Robotic Program learning,,Hyderabad,Seed Funding,250000,
28/04/2015,Naaptol.com,Tele-Shopping / eCommerce,,Mumbai,Private Equity,21500000,Series C
29/04/2015,ReGlobe,Used Gadgets Buy / Refurbishing,,Gurgaon,Seed Funding,1000000,
29/04/2015,Icertis,Cloud Enterprise Software,,Pune,Private Equity,6000000,Series A
29/04/2015,Tracxn,Startup Analytics platform,,Bangalore,Private Equity,3500000,Series A
29/04/2015,Dazo,Mobile Food Ordering app,,Bangalore,Seed Funding,N/A,
29/04/2015,Tradelab,Financial Markets Software,,Bangalore,Seed Funding,400000,
29/04/2015,PiQube,Hiring Analytics platform,,Chennai,Seed Funding,500000,
29/04/2015,Travel Triangle,Online Travel Marketplace,,Noida,Private Equity,8000000,Series B
1/5/2015,Foodpanda,Online Food Delivery,,Gurgaon,Private Equity,100000000,Series D
1/5/2015,Termsheet,Fund Raising Platform,,Chennai,Seed Funding,100000,
4/5/2015,Applicate,Workforce Management Software,,Bangalore,Seed Funding,550000,
4/5/2015,World Art Community,Online Art Marketplace,,Gurgaon,Seed Funding,200000,
4/5/2015,SpoonJoy,Online Food Delivery,,Bangalore,Seed Funding,1000000,
5/5/2015,Seed Schools,Affordable Education,,Hyderabad,Seed Funding,650000,
5/5/2015,Ignis Careers,Career Development,,Hyderabad,Seed Funding,250000,
5/5/2015,Square Yards,Real Estate Advisory,,Gurgaon,Private Equity,6000000,pre-Series A
5/5/2015,Fintellix,Banking Analytics Platform,,Bangalore,Private Equity,15000000,Series C
5/5/2015,Customer360,Customer Engagement Platform,,Mumbai,Seed Funding,N/A,
6/5/2015,Delhivery,Ecommerce Logistics,,Gurgaon,Private Equity,85000000,Series D
6/5/2015,Swiggy,Online Food Delivery,,Bangalore,Private Equity,15000000,Series B
7/5/2015,Uniphore,Speech Recognition Solutions,,Chennai,Private Equity,N/A,Series A
7/5/2015,Box8,Online Food Delivery,,Mumbai,Private Equity,3500000,Series A
7/5/2015,Toppr,Online Education Platform,,Mumbai,Private Equity,10000000,Series B
7/5/2015,Vedantu,Online Education Platform,,Bangalore,Private Equity,5000000,Series A
8/5/2015,BuyHatke,Online Product Comparison,,Bangalore,Seed Funding,1000000,
8/5/2015,KleverKid,Online Education Platform,,New Delhi,Seed Funding,N/A,
8/5/2015,Uniken,Online Security Platform,,Pune,Private Equity,2000000,Bridge Round Pre-Series B
8/5/2015,GrandOpinion,Online Medical Diagnostic,,New Delhi,Seed Funding,150000,
8/5/2015,HealthifyMe,Health & Fitness App,,Bangalore,Private Equity,N/A,Strategic Investment
12/5/2015,ZapStitch,Cloud Data Integration Platform,,Bangalore,Private Equity,2000000,Pre-Series A
12/5/2015,Wassup,Mobile Laundry Cleaning Service,,Chennai,Private Equity,2000000,Pre-Series A
12/5/2015,Mobiefit,Mobile Fitness App,,Goa,Seed Funding,N/A,
12/5/2015,Plancess,Online Education Platform,,Mumbai,Seed Funding,2000000,
12/5/2015,WorkHorse,Service-On-Demand Mobile App,,Mumbai,Seed Funding,N/A,
13/05/2015,Innovaccer,Intelligent Data Analytics,,Noida,Seed Funding,N/A,
13/05/2015,MyCuteOffice,Online Office Rental,,Mumbai,Seed Funding,N/A,
14/05/2015,IndianRoots.com,Lifestyle Ecommerce Portal,,Gurgaon,Private Equity,5000000,Series B
14/05/2015,RedPolka,Online Fashion Aggregator,,Mumbai,Seed Funding,250000,
15/05/2015,Venturesity,Online Job skills Showcase,,Bangalore,Seed Funding,270000,
