host	logname	time	method	url	response	bytes	referer	useragent
205.189.154.54	-	804571331	GET	/shuttle/missions/sts-71/images/KSC-95EC-0869.gif	200	45798		
port2.electrotex.com	-	804571332	GET	/shuttle/countdown/video/livevideo.gif	200	70712		
199.33.32.50	-	804571332	GET	/shuttle/countdown/liftoff.html	200	4538		
scheyer.clark.net	-	804571333	GET	/shuttle/missions/sts-71/movies/sts-71-launch-3.mpg	200	130724		
199.33.32.50	-	804571334	GET	/images/NASA-logosmall.gif	200	786		
dynip42.efn.org	-	804571334	GET	/software	302	0		
remote27.compusmart.ab.ca	-	804571334	GET	/shuttle/missions/sts-71/images/KSC-95EC-0868.gif	200	47122		
ppp-nyc-3-1.ios.com	-	804571335	GET	/shuttle/missions/sts-71/images/KSC-95EC-0918.gif	200	31631		
smyth-pc.moorecap.com	-	804571335	GET	/history/apollo/images/footprint-small.gif	200	18149		
dynip42.efn.org	-	804571335	GET	/software/	200	689		
waters-gw.starway.net.au	-	804571336	GET	/shuttle/missions/51-l/51-l-info.html	200	1387		
199.33.32.50	-	804571336	GET	/shuttle/countdown/video/livevideo.gif	200	62761		
lmsmith.tezcat.com	-	804571336	GET	/shuttle/countdown/	200	3985		
dynip42.efn.org	-	804571337	GET	/icons/blank.xbm	200	509		
dynip42.efn.org	-	804571337	GET	/icons/menu.xbm	200	527		
unicomp6.unicomp.net	-	804571337	GET	/facilities/lcc.html	200	2489		
lmsmith.tezcat.com	-	804571339	GET	/shuttle/countdown/count.gif	200	40310		
lmsmith.tezcat.com	-	804571340	GET	/images/NASA-logosmall.gif	200	786		
unicomp6.unicomp.net	-	804571340	GET	/images/ksclogosmall.gif	200	3635		
unicomp6.unicomp.net	-	804571341	GET	/images/kscmap-tiny.gif	200	2537		
lmsmith.tezcat.com	-	804571341	GET	/images/KSC-logosmall.gif	200	1204		
ppp-nyc-3-1.ios.com	-	804571345	GET	/shuttle/missions/sts-71/images/KSC-95EC-0918.txt	200	1391		
link097.txdirect.net	-	804571345	GET	/shuttle/missions/sts-65/sts-65-patch-small.gif	200	11757		
gayle-gaston.tenet.edu	-	804571345	GET	/shuttle/countdown/	200	3985		
pme607.onramp.awinc.com	-	804571345	GET	/shuttle/missions/sts-71/sts-71-day-04-highlights.html	200	5544		
dynip42.efn.org	-	804571346	GET	/software/winvn/	200	2244		
onyx.southwind.net	-	804571347	GET	/cgi-bin/imagemap/countdown?103,146	302	96		
dynip42.efn.org	-	804571348	GET	/icons/image.xbm	200	509		
dynip42.efn.org	-	804571348	GET	/icons/text.xbm	200	527		
smyth-pc.moorecap.com	-	804571350	GET	/history/apollo/images/footprint-small.gif	200	18149		
usr7-dialup46.chicago.mci.net	-	804571355	GET	/shuttle/missions/	200	12283		
smyth-pc.moorecap.com	-	804571358	GET	/history/apollo/images/apollo-small.gif	200	9630		
dynip42.efn.org	-	804571359	GET	/software/winvn/winvn.html	200	9867		
ix-or10-06.ix.netcom.com	-	804571360	GET	/software/winvn	302	0		
gater3.sematech.org	-	804571361	GET	/cgi-bin/imagemap/countdown?99,173	302	110		
dynip42.efn.org	-	804571361	GET	/software/winvn/winvn.gif	200	25218		
dynip42.efn.org	-	804571361	GET	/images/construct.gif	200	1414		
dynip42.efn.org	-	804571362	GET	/software/winvn/bluemarb.gif	200	4441		
ix-or10-06.ix.netcom.com	-	804571362	GET	/software/winvn/	200	2244		
gater4.sematech.org	-	804571363	GET	/shuttle/missions/sts-71/images/images.html	200	7634		
ix-or10-06.ix.netcom.com	-	804571365	GET	/icons/blank.xbm	200	509		
ix-or10-06.ix.netcom.com	-	804571367	GET	/icons/menu.xbm	200	527		
ix-or10-06.ix.netcom.com	-	804571369	GET	/icons/image.xbm	200	509		
ix-or10-06.ix.netcom.com	-	804571372	GET	/icons/text.xbm	200	527		
remote27.compusmart.ab.ca	-	804571375	GET	/shuttle/missions/sts-71/images/KSC-95EC-0868.txt	200	657		
waters-gw.starway.net.au	-	804571377	GET	/shuttle/missions/51-l/images/	200	1038		
brandt.xensei.com	-	804571377	GET	/shuttle/missions/sts-71/mission-sts-71.html	200	12040		
sneaker.oregoncoast.com	-	804571377	GET	/shuttle/countdown/	304	0		
teleman.pr.mcs.net	-	804571378	GET	/msfc/astro_home.html	304	0		
slip1.yab.com	-	804571380	GET	/shuttle/missions/sts-49/mission-sts-49.html	200	9379		
onyx.southwind.net	-	804571380	GET	/cgi-bin/imagemap/countdown?102,210	302	95		
dd11-054.compuserve.com	-	804571381	GET	/	200	7074		
onyx.southwind.net	-	804571382	GET	/shuttle/countdown/tour.html	200	4347		
sneaker.oregoncoast.com	-	804571382	GET	/shuttle/countdown/count.gif	304	0		
sneaker.oregoncoast.com	-	804571382	GET	/images/NASA-logosmall.gif	304	0		
sneaker.oregoncoast.com	-	804571383	GET	/images/KSC-logosmall.gif	304	0		
onyx.southwind.net	-	804571383	GET	/images/KSC-94EC-412-small.gif	200	20484		
gater3.sematech.org	-	804571384	GET	/shuttle/missions/sts-71/images/KSC-95EC-0868.gif	200	47122		
ppp-nyc-3-1.ios.com	-	804571385	GET	/shuttle/countdown/count.gif	200	40310		
brandt.xensei.com	-	804571385	GET	/shuttle/missions/sts-71/sts-71-patch-small.gif	200	12054		
brandt.xensei.com	-	804571388	GET	/images/KSC-logosmall.gif	200	1204		
piweba3y.prodigy.com	-	804571389	GET	/shuttle/missions/sts-71/movies/sts-71-tcdt-crew-walkout.mpg	200	647168		
unicomp6.unicomp.net	-	804571389	GET	/images/lcc-small2.gif	200	58026		
gayle-gaston.tenet.edu	-	804571391	GET	/shuttle/missions/sts-71/images/images.html	200	7634		
129.188.154.200	-	804571392	GET	/facts/about_ksc.html	200	3977		
ppp-nyc-3-1.ios.com	-	804571393	GET	/shuttle/missions/sts-71/movies/movies.html	200	3092		
link097.txdirect.net	-	804571393	GET	/shuttle/missions/sts-65/mission-sts-65.html	200	130811		
lmsmith.tezcat.com	-	804571393	GET	/cgi-bin/imagemap/countdown?103,175	302	110		
ppp-nyc-3-1.ios.com	-	804571394	GET	/shuttle/missions/sts-71/sts-71-patch-small.gif	200	12054		
129.188.154.200	-	804571394	GET	/images/launchpalms-small.gif	200	11473		
lmsmith.tezcat.com	-	804571394	GET	/shuttle/missions/sts-71/images/images.html	200	7634		
brandt.xensei.com	-	804571395	GET	/images/launch-logo.gif	200	1713		
charger.execpc.com	-	804571395	GET	/shuttle/missions/missions.html	200	8677		
129.188.154.200	-	804571396	GET	/images/NASA-logosmall.gif	200	786		
129.188.154.200	-	804571396	GET	/images/KSC-logosmall.gif	200	1204		
charger.execpc.com	-	804571396	GET	/images/launchmedium.gif	200	11853		
129.94.144.152	-	804571399	GET	/images/shuttle-patch-small.gif	200	4179		
charger.execpc.com	-	804571399	GET	/images/NASA-logosmall.gif	200	786		
charger.execpc.com	-	804571399	GET	/images/KSC-logosmall.gif	200	1204		
